"District" "year" "n" "comb" "nobs" "med" "lrsmed" "wt_med"
"1" "Agago" 2016 30 0 5 0 NA NA
"2" "Agago" 2017 42 5 5 0.119047619047619 -2.00148000021012 4.40476190476191
"3" "Agago" 2018 31 2 5 0.0645161290322581 -2.67414864942653 1.87096774193548
"4" "Agago" 2019 35 13 5 0.371428571428571 -0.526093095896779 8.17142857142857
"5" "Agago" 2020 79 40 5 0.506329113924051 0.02531780798429 19.746835443038
"6" "Agago" 2021 50 14 5 0.28 -0.944461608840851 10.08
"7" "Amolatar" 2016 30 0 1 0 NA NA
"8" "Amolatar" 2017 48 0 1 0 NA NA
"9" "Amolatar" 2018 27 0 1 0 NA NA
"10" "Amolatar" 2019 19 0 1 0 NA NA
"11" "Amolatar" 2020 85 0 1 0 NA NA
"12" "Amolatar" 2021 50 1 1 0.02 -3.89182029811063 NA
"13" "Arua" 2016 31 0 2 0 NA NA
"14" "Arua" 2017 45 1 2 0.0222222222222222 -3.78418963391826 NA
"15" "Arua" 2018 20 0 2 0 NA NA
"16" "Arua" 2019 21 0 2 0 NA NA
"17" "Arua" 2020 81 0 2 0 NA NA
"18" "Arua" 2021 68 3 2 0.0441176470588235 -3.07577498122753 NA
"19" "Hoima" 2018 42 1 2 0.0238095238095238 -3.71357206670431 NA
"20" "Hoima" 2019 47 0 2 0 NA NA
"21" "Hoima" 2020 92 14 2 0.152173913043478 -1.71765149707433 NA
"22" "Hoima" 2021 82 0 2 0 NA NA
"23" "Kaabong" 2018 29 4 4 0.137931034482759 -1.83258146374831 3.44827586206897
"24" "Kaabong" 2019 31 8 4 0.258064516129032 -1.05605267424931 5.93548387096774
"25" "Kaabong" 2020 74 25 4 0.337837837837838 -0.672944473242426 16.5540540540541
"26" "Kaabong" 2021 50 19 4 0.38 -0.489548225318706 11.78
"27" "Kapchorwa" 2019 15 0 1 0 NA NA
"28" "Kapchorwa" 2021 71 4 1 0.0563380281690141 -2.81839825827108 NA
"29" "Katakwi" 2018 40 3 4 0.075 -2.51230562397611 2.775
"30" "Katakwi" 2019 37 5 4 0.135135135135135 -1.85629799036563 4.32432432432432
"31" "Katakwi" 2020 87 17 4 0.195402298850575 -1.41528189799314 13.6781609195402
"32" "Katakwi" 2021 58 13 4 0.224137931034483 -1.24171313230878 10.0862068965517
"33" "Kanungu" 2016 37 0 3 0 NA NA
"34" "Kanungu" 2017 48 0 3 0 NA NA
"35" "Kanungu" 2018 36 1 3 0.0277777777777778 -3.55534806148941 0.972222222222222
"36" "Kanungu" 2019 40 0 3 0 NA NA
"37" "Kanungu" 2020 91 3 3 0.032967032967033 -3.3787245258101 2.9010989010989
"38" "Kanungu" 2021 46 2 3 0.0434782608695652 -3.09104245335832 1.91304347826087
"39" "Koboko" 2018 23 0 2 0 NA NA
"40" "Koboko" 2019 4 0 2 0 NA NA
"41" "Koboko" 2020 56 7 2 0.125 -1.94591014905531 NA
"42" "Koboko" 2021 44 6 2 0.136363636363636 -1.84582669049833 NA
"43" "Kole" 2016 23 1 6 0.0434782608695652 -3.09104245335832 0.956521739130435
"44" "Kole" 2017 47 2 6 0.0425531914893617 -3.11351530921037 1.91489361702128
"45" "Kole" 2018 34 1 6 0.0294117647058824 -3.49650756146648 0.970588235294118
"46" "Kole" 2019 41 4 6 0.0975609756097561 -2.22462355152433 3.60975609756098
"47" "Kole" 2020 85 18 6 0.211764705882353 -1.3143208614948 14.1882352941176
"48" "Kole" 2021 54 2 6 0.037037037037037 -3.25809653802148 1.92592592592593
"49" "Lamwo" 2016 32 4 6 0.125 -1.94591014905531 3.5
"50" "Lamwo" 2017 44 7 6 0.159090909090909 -1.66500776358891 5.88636363636364
"51" "Lamwo" 2018 32 7 6 0.21875 -1.27296567581289 5.46875
"52" "Lamwo" 2019 31 9 6 0.290322580645161 -0.893817876022096 6.38709677419355
"53" "Lamwo" 2020 84 39 6 0.464285714285714 -0.143100843640673 20.8928571428571
"54" "Lamwo" 2021 51 27 6 0.529411764705882 0.117783035656383 12.7058823529412
"55" "Mubende" 2016 26 0 2 0 NA NA
"56" "Mubende" 2017 46 0 2 0 NA NA
"57" "Mubende" 2018 38 4 2 0.105263157894737 -2.14006616349627 NA
"58" "Mubende" 2019 22 0 2 0 NA NA
"59" "Mubende" 2020 87 9 2 0.103448275862069 -2.15948424935337 NA
"60" "Mubende" 2021 19 0 2 0 NA NA
"61" "Rukiga" 2016 41 7 4 0.170731707317073 -1.58045037556085 5.80487804878049
"62" "Rukiga" 2019 14 1 4 0.0714285714285714 -2.56494935746154 0.928571428571429
"63" "Rukiga" 2020 39 12 4 0.307692307692308 -0.810930216216329 8.30769230769231
"64" "Rukiga" 2021 64 41 4 0.640625 0.578077850775158 14.734375
"65" "Tororo" 2016 35 1 3 0.0285714285714286 -3.52636052461616 0.971428571428572
"66" "Tororo" 2017 48 1 3 0.0208333333333333 -3.85014760171006 0.979166666666667
"67" "Tororo" 2018 31 0 3 0 NA NA
"68" "Tororo" 2019 44 0 3 0 NA NA
"69" "Tororo" 2020 40 0 3 0 NA NA
"70" "Tororo" 2021 73 6 3 0.0821917808219178 -2.41293315016291 5.50684931506849
