"District" "year" "n" "comb" "nobs" "med" "lrsmed" "min_year" "adj_year" "wt_med"
"1" "Agago" 2016 31 0 6 0 NA 2017 -1 NA
"2" "Agago" 2017 44 4 6 0.0909090909090909 -2.30258509299405 2017 0 3.63636363636364
"3" "Agago" 2018 35 3 6 0.0857142857142857 -2.36712361413162 2017 1 2.74285714285714
"4" "Agago" 2019 48 17 6 0.354166666666667 -0.60077386042893 2017 2 10.9791666666667
"5" "Agago" 2020 79 43 6 0.544303797468354 0.177681177237452 2017 3 19.5949367088608
"6" "Agago" 2021 54 15 6 0.277777777777778 -0.955511445027436 2017 4 10.8333333333333
"7" "Agago" 2022 68 26 6 0.382352941176471 -0.479573080261886 2017 5 16.0588235294118
"8" "Amolatar" 2016 30 0 2 0 NA 2017 -1 NA
"9" "Amolatar" 2017 49 2 2 0.0408163265306122 -3.15700042115011 2017 0 NA
"10" "Amolatar" 2018 27 0 2 0 NA 2017 1 NA
"11" "Amolatar" 2019 28 0 2 0 NA 2017 2 NA
"12" "Amolatar" 2020 85 0 2 0 NA 2017 3 NA
"13" "Amolatar" 2021 50 1 2 0.02 -3.89182029811063 2017 4 NA
"14" "Amolatar" 2022 13 0 2 0 NA 2017 5 NA
"15" "Arua" 2016 33 0 4 0 NA 2017 -1 NA
"16" "Arua" 2017 45 1 4 0.0222222222222222 -3.78418963391826 2017 0 0.977777777777778
"17" "Arua" 2018 30 0 4 0 NA 2017 1 NA
"18" "Arua" 2019 29 1 4 0.0344827586206897 -3.3322045101752 2017 2 0.96551724137931
"19" "Arua" 2020 81 0 4 0 NA 2017 3 NA
"20" "Arua" 2021 69 3 4 0.0434782608695652 -3.09104245335832 2017 4 2.8695652173913
"21" "Arua" 2022 78 9 4 0.115384615384615 -2.03688192726104 2017 5 7.96153846153846
"22" "Hoima" 2016 0 0 4 NA NA 2018 -2 NA
"23" "Hoima" 2017 0 0 4 NA NA 2018 -1 NA
"24" "Hoima" 2018 45 1 4 0.0222222222222222 -3.78418963391826 2018 0 0.977777777777778
"25" "Hoima" 2019 83 1 4 0.0120481927710843 -4.40671924726425 2018 1 0.987951807228916
"26" "Hoima" 2020 92 14 4 0.152173913043478 -1.71765149707433 2018 2 11.8695652173913
"27" "Hoima" 2021 82 0 4 0 NA 2018 3 NA
"28" "Hoima" 2022 63 14 4 0.222222222222222 -1.25276296849537 2018 4 10.8888888888889
"29" "Jinja" 2016 29 0 2 0 NA 2018 -2 NA
"30" "Jinja" 2017 48 0 2 0 NA 2018 -1 NA
"31" "Jinja" 2018 40 1 2 0.025 -3.66356164612965 2018 0 NA
"32" "Jinja" 2019 91 0 2 0 NA 2018 1 NA
"33" "Jinja" 2020 96 0 2 0 NA 2018 2 NA
"34" "Jinja" 2021 95 0 2 0 NA 2018 3 NA
"35" "Jinja" 2022 99 1 2 0.0101010101010101 -4.58496747867057 2018 4 NA
"36" "Kaabong" 2016 0 0 5 NA NA 2018 -2 NA
"37" "Kaabong" 2017 0 0 5 NA NA 2018 -1 NA
