"country" "year" "n" "c580y" "r539t" "all_kelch" "prev_580y" "prev_539t" "prev_all_kelch" "min_year" "nobs_c580y" "nobs_r539t" "nobs_kelch" "lrsmed_580y" "lrsmed_all_kelch" "lrsmed_539t" "adj_year" "wt_med_539t" "wt_med_580y" "wt_med_all_kelch"
"1" "Cambodia" 2008 62 21 8 32 0.338709677419355 0.129032258064516 0.516129032258065 1993 12 7 12 -0.669049628980885 0.0645385211375712 -1.90954250488444 15 6.96774193548387 13.8870967741935 15.4838709677419
"2" "Cambodia" 2009 81 31 3 44 0.382716049382716 0.037037037037037 0.54320987654321 1993 12 7 12 -0.478035800943 0.173271721274037 -3.25809653802148 16 2.88888888888889 19.1358024691358 20.0987654320988
"3" "Cambodia" 1993 5 0 0 0 0 0 0 1993 12 7 12 NA NA NA 0 NA NA NA
"4" "Cambodia" 2007 43 3 2 12 0.0697674418604651 0.0465116279069767 0.27906976744186 1993 12 7 12 -2.59026716544583 -0.949080554697146 -3.02042488614436 14 1.90697674418605 2.7906976744186 8.65116279069768
"5" "Cambodia" 2010 213 60 6 87 0.28169014084507 0.028169014084507 0.408450704225352 1993 12 7 12 -0.936093359170335 -0.370373788296894 -3.54095932403731 17 5.83098591549296 43.0985915492958 51.4647887323944
"6" "Cambodia" 2011 333 114 14 139 0.342342342342342 0.042042042042042 0.417417417417417 1993 12 7 12 -0.652873281422005 -0.333384225932636 -3.12613377316959 18 13.4114114114114 74.972972972973 80.978978978979
"7" "Cambodia" 2012 261 52 0 56 0.199233716475096 0 0.21455938697318 1993 12 7 12 -1.39109053338338 -1.29765828840326 NA 19 NA 41.639846743295 43.9846743295019
"8" "Cambodia" 2015 71 27 0 27 0.380281690140845 0 0.380281690140845 1993 12 7 12 -0.488352767913932 -0.488352767913932 NA 22 NA 16.7323943661972 16.7323943661972
"9" "Cambodia" 2016 283 161 0 162 0.568904593639576 0 0.57243816254417 1993 12 7 12 0.277383320251207 0.291805789635643 NA 23 NA 69.4063604240283 69.2650176678445
"10" "Cambodia" 2017 165 122 1 128 0.739393939393939 0.00606060606060606 0.775757575757576 1993 12 7 12 1.04282092903969 1.24111235127539 -5.0998664278242 24 0.993939393939394 31.7939393939394 28.7030303030303
"11" "Cambodia" 2013 118 34 1 40 0.288135593220339 0.00847457627118644 0.338983050847458 1993 12 7 12 -0.904456274227152 -0.667829372575656 -4.76217393479776 20 0.991525423728814 24.2033898305085 26.4406779661017
"12" "Cambodia" 2014 80 32 0 33 0.4 0 0.4125 1993 12 7 12 -0.405465108108164 -0.353640040243578 NA 21 NA 19.2 19.3875
"13" "Cambodia" 2018 8 5 0 5 0.625 0 0.625 1993 12 7 12 0.510825623765991 0.510825623765991 NA 25 NA 1.875 1.875
"14" "Laos" 2011 59 0 1 1 0 0.0169491525423729 0.0169491525423729 2010 3 4 5 NA -4.06044301054642 -4.06044301054642 1 0.983050847457627 NA 0.983050847457627
"15" "Laos" 2012 27 0 1 1 0 0.037037037037037 0.037037037037037 2010 3 4 5 NA -3.25809653802148 -3.25809653802148 2 0.962962962962963 NA 0.962962962962963
"16" "Laos" 2017 553 125 3 136 0.226039783001808 0.0054249547920434 0.245931283905967 2010 3 4 5 -1.2308094582795 -1.12043133606275 -5.21130598955841 7 2.98372513562387 96.7450271247739 102.553345388788
"17" "Laos" 2018 357 118 8 127 0.330532212885154 0.0224089635854342 0.355742296918768 2010 3 4 5 -0.705778927465846 -0.593892222464604 -3.77563038052259 8 7.82072829131653 78.9971988795518 81.8207282913165
"18" "Laos" 2010 45 0 0 0 0 0 0 2010 3 4 5 NA NA NA 0 NA NA NA
"19" "Laos" 2015 7 2 0 5 0.285714285714286 0 0.714285714285714 2010 3 4 5 -0.916290731874155 0.916290731874155 NA 5 NA 1.42857142857143 1.42857142857143
"20" "Laos" 2016 4 0 0 0 0 0 0 2010 3 4 5 NA NA NA 6 NA NA NA
"21" "Myanmar" 2011 89 12 0 15 0.134831460674157 0 0.168539325842697 2011 3 0 7 -1.85889877206568 -1.59601489210196 NA 0 NA 10.3820224719101 12.4719101123596
"22" "Myanmar" 2012 216 0 0 19 0 0 0.087962962962963 2011 3 0 7 NA -2.33876474957155 NA 1 NA NA 17.3287037037037
"23" "Myanmar" 2013 69 0 0 11 0 0 0.159420289855072 2011 3 0 7 NA -1.66254773774805 NA 2 NA NA 9.2463768115942
"24" "Myanmar" 2015 28 0 0 2 0 0 0.0714285714285714 2011 3 0 7 NA -2.56494935746154 NA 4 NA NA 1.85714285714286
"25" "Myanmar" 2016 503 5 0 92 0.0099403578528827 0 0.182902584493042 2011 3 0 7 -4.60116216459055 -1.49680463744719 NA 5 NA 4.95029821073559 75.1729622266402
"26" "Myanmar" 2017 321 7 0 68 0.0218068535825545 0 0.21183800623053 2011 3 0 7 -3.80348283685294 -1.31388178355141 NA 6 NA 6.84735202492212 53.595015576324
"27" "Myanmar" 2014 34 0 0 11 0 0 0.323529411764706 2011 3 0 7 NA -0.737598943130779 NA 3 NA NA 7.44117647058824
"28" "Thailand" 2011 69 14 2 18 0.202898550724638 0.0289855072463768 0.260869565217391 2001 7 3 11 -1.36827585561721 -1.04145387482816 -3.51154543883102 10 1.94202898550725 11.1594202898551 13.304347826087
"29" "Thailand" 2012 132 24 10 51 0.181818181818182 0.0757575757575758 0.386363636363636 2001 7 3 11 -1.50407739677627 -0.462623521948113 -2.50143595173921 11 9.24242424242424 19.6363636363636 31.2954545454546
"30" "Thailand" 2013 121 54 2 69 0.446280991735537 0.0165289256198347 0.570247933884298 2001 7 3 11 -0.215708572826692 0.282862786015832 -4.08597631255158 12 1.96694214876033 29.900826446281 29.6528925619835
"31" "Thailand" 2015 57 19 0 19 0.333333333333333 0 0.333333333333333 2001 7 3 11 -0.693147180559945 -0.693147180559945 NA 14 NA 12.6666666666667 12.6666666666667
"32" "Thailand" 2016 13 5 0 5 0.384615384615385 0 0.384615384615385 2001 7 3 11 -0.470003629245736 -0.470003629245736 NA 15 NA 3.07692307692308 3.07692307692308
"33" "Thailand" 2017 27 18 0 19 0.666666666666667 0 0.703703703703704 2001 7 3 11 0.693147180559945 0.864997437486605 NA 16 NA 6 5.62962962962963
"34" "Thailand" 2001 38 0 0 0 0 0 0 2001 7 3 11 NA NA NA 0 NA NA NA
"35" "Thailand" 2002 52 0 0 0 0 0 0 2001 7 3 11 NA NA NA 1 NA NA NA
"36" "Thailand" 2003 87 0 0 1 0 0 0.0114942528735632 2001 7 3 11 NA -4.45434729625351 NA 2 NA NA 0.988505747126437
"37" "Thailand" 2004 80 0 0 0 0 0 0 2001 7 3 11 NA NA NA 3 NA NA NA
"38" "Thailand" 2005 50 0 0 1 0 0 0.02 2001 7 3 11 NA -3.89182029811063 NA 4 NA NA 0.98
"39" "Thailand" 2006 2 0 0 0 0 0 0 2001 7 3 11 NA NA NA 5 NA NA NA
"40" "Thailand" 2007 29 0 0 0 0 0 0 2001 7 3 11 NA NA NA 6 NA NA NA
"41" "Thailand" 2008 310 0 0 4 0 0 0.0129032258064516 2001 7 3 11 NA -4.33729074083249 NA 7 NA NA 3.94838709677419
"42" "Thailand" 2009 16 0 0 1 0 0 0.0625 2001 7 3 11 NA -2.70805020110221 NA 8 NA NA 0.9375
"43" "Thailand" 2010 16 0 0 0 0 0 0 2001 7 3 11 NA NA NA 9 NA NA NA
"44" "Thailand" 2014 7 5 0 5 0.714285714285714 0 0.714285714285714 2001 7 3 11 0.916290731874155 0.916290731874155 NA 13 NA 1.42857142857143 1.42857142857143
"45" "Vietnam" 1999 1 0 0 0 0 0 0 1999 8 2 11 NA NA NA 0 NA NA NA
"46" "Vietnam" 2000 13 0 0 0 0 0 0 1999 8 2 11 NA NA NA 1 NA NA NA
"47" "Vietnam" 2001 1 0 0 0 0 0 0 1999 8 2 11 NA NA NA 2 NA NA NA
"48" "Vietnam" 2005 42 0 0 4 0 0 0.0952380952380952 1999 8 2 11 NA -2.2512917986065 NA 6 NA NA 3.61904761904762
"49" "Vietnam" 2009 18 0 0 1 0 0 0.0555555555555556 1999 8 2 11 NA -2.83321334405622 NA 10 NA NA 0.944444444444444
