"adj_year" "year" "District" "country" "min_year" "Locus" "predict" "conf.low" "conf.high" "label" "pred_y" "conf.high_prev" "conf.low_prev" "predict_prev"
"1" 0 2010 "Binh Phuoc" "Vietnam" 2010 "C580Y" -2.94849736274246 -4.16986372950896 -1.76671838885206 "2year" 2 14.5950904194759 1.52191634332441 4.9807578458436
"2" 1 2011 "Binh Phuoc" "Vietnam" 2010 "C580Y" -2.45788165581949 -3.524516648245 -1.39809966229136 "2year" 2 19.8117839512898 2.86226500583335 7.88640860947958
"3" 2 2012 "Binh Phuoc" "Vietnam" 2010 "C580Y" -1.96325715416201 -3.16938222418782 -0.788031418916919 "2year" 2 31.2591518165455 4.03343211682536 12.311498087464
"4" 3 2013 "Binh Phuoc" "Vietnam" 2010 "C580Y" -1.49315579880257 -2.95145953272188 0.0060942727716317 "2year" 2 50.1523563477461 4.96675752839844 18.3448531691058
"5" 4 2014 "Binh Phuoc" "Vietnam" 2010 "C580Y" -0.987336969552743 -2.87284573790794 0.833843795876738 "2year" 2 69.716706629098 5.35123356259153 27.1438396805657
"6" 5 2015 "Binh Phuoc" "Vietnam" 2010 "C580Y" -0.492220594144952 -2.83405712968086 1.66475619415996 "2year" 2 84.0875432814977 5.5511299452393 37.9370592120315
"7" 6 2016 "Binh Phuoc" "Vietnam" 2010 "C580Y" -0.00306559407488908 -2.77192292821314 2.67315813102347 "2year" 2 93.542406362671 5.88604008096853 49.9233602081486
"8" 7 2017 "Binh Phuoc" "Vietnam" 2010 "C580Y" 0.495421376746209 -2.71330606790397 3.67277687067939 "2year" 2 97.5223640589098 6.21927462739237 62.1382735979523
"9" 8 2018 "Binh Phuoc" "Vietnam" 2010 "C580Y" 0.96564544791107 -2.69189384992541 4.53499077587945 "2year" 2 98.9386841246214 6.34533793336078 72.4250692879103
"10" 9 2019 "Binh Phuoc" "Vietnam" 2010 "C580Y" 1.47586574827692 -2.60883747600308 5.45475242383554 "2year" 2 99.5742270505385 6.85718165799779 81.3947314129111
"11" 10 2020 "Binh Phuoc" "Vietnam" 2010 "C580Y" 1.98299452520594 -2.50740093588056 6.42692222565185 "2year" 2 99.8385190587769 7.53409728083353 87.9000018412603
"12" 11 2021 "Binh Phuoc" "Vietnam" 2010 "C580Y" 2.45596254852184 -2.60449982779738 7.44980269356444 "2year" 2 99.9418781665526 6.88493799597795 92.0996388512182
"13" 12 2022 "Binh Phuoc" "Vietnam" 2010 "C580Y" 2.97841603294617 -2.61994497209153 8.31869016558424 "2year" 2 99.9756144336561 6.78657745603244 95.1589454899032
"14" 13 2023 "Binh Phuoc" "Vietnam" 2010 "C580Y" 3.45883451765511 -2.53589242156899 9.39758777658816 "2year" 2 99.9917083020439 7.33799807260415 96.9493515472411
"15" 0 2008 "Pailin" "Cambodia" 2008 "C580Y" -0.0212077170285369 -1.16112706928265 1.10884415714621 "2year" 2 75.1913563811931 23.8462551118027 49.4698269453445
"16" 1 2009 "Pailin" "Cambodia" 2008 "C580Y" 0.312629482020337 -0.797995379960482 1.46680866168668 "2year" 2 81.2571833642178 31.0454489756573 57.7526957765476
"17" 2 2010 "Pailin" "Cambodia" 2008 "C580Y" 0.641764305257475 -0.649039052576794 1.92284980071522 "2year" 2 87.2455886588561 34.3206117292841 65.5152175255151
"18" 3 2011 "Pailin" "Cambodia" 2008 "C580Y" 0.973162229243057 -0.643700573204648 2.59688166762409 "2year" 2 93.066061924722 34.4410499498681 72.5749348251804
"19" 4 2012 "Pailin" "Cambodia" 2008 "C580Y" 1.30884482447212 -0.659928956154348 3.30775864258716 "2year" 2 96.4694020815354 34.0755570743631 78.7319789010312
"20" 5 2013 "Pailin" "Cambodia" 2008 "C580Y" 1.64427172871132 -0.709434836536928 4.05989795823871 "2year" 2 98.3041763470673 32.9723732681156 83.811535449283
"21" 6 2014 "Pailin" "Cambodia" 2008 "C580Y" 1.97173385704118 -0.79534668947838 4.83057777027139 "2year" 2 99.2081298127437 31.1021786026555 87.7797224598639
"22" 7 2015 "Pailin" "Cambodia" 2008 "C580Y" 2.32693559708124 -0.872229494673077 5.57442042478822 "2year" 2 99.622066390349 29.4790602397234 91.1083400648859
"23" 8 2016 "Pailin" "Cambodia" 2008 "C580Y" 2.66550886649411 -1.13563642396863 6.33132743261533 "2year" 2 99.8223491789327 24.3122419373396 93.4960461186603
