"","adj_year","year","District","country","min_year","Locus","predict","conf.low","conf.high","label","pred_y","conf.high_prev","conf.low_prev","predict_prev"
"1",0,2010,"Ratanakiri","Cambodia",2010,"PfK13",-3.4497196568221,-4.43941122875225,-2.38890432896514,"2year",2,8.40227194956031,1.166520262123,3.08
"2",1,2011,"Ratanakiri","Cambodia",2010,"PfK13",-2.99710855542482,-3.90649644535607,-2.11880220129472,"2year",2,10.728273348915,1.97143648124221,4.76
"3",2,2012,"Ratanakiri","Cambodia",2010,"PfK13",-2.51484099361387,-3.50368011443753,-1.59058814135634,"2year",2,16.9301165656044,2.9207701549258,7.48
"4",3,2013,"Ratanakiri","Cambodia",2010,"PfK13",-2.06892200994983,-3.32684966852999,-0.842585608917409,"2year",2,30.0990504477021,3.46614862010233,11.22
"5",4,2014,"Ratanakiri","Cambodia",2010,"PfK13",-1.60148857453136,-3.23722314892462,-0.0729069955395193,"2year",2,48.1781320409953,3.77887293815537,16.78
"6",5,2015,"Ratanakiri","Cambodia",2010,"PfK13",-1.14246101811838,-3.22277848789314,0.787395652608892,"2year",2,68.7271853328657,3.83174688928131,24.19
"7",6,2016,"Ratanakiri","Cambodia",2010,"PfK13",-0.688223251520797,-3.18717878089906,1.72305552237574,"2year",2,84.852198840798,3.96510689501159,33.44
"8",7,2017,"Ratanakiri","Cambodia",2010,"PfK13",-0.228439604429835,-3.16379665876524,2.6008724808551,"2year",2,93.0917709936581,4.0551080202812,44.31
"9",8,2018,"Ratanakiri","Cambodia",2010,"PfK13",0.239807640304354,-3.23268168111194,3.46693568826335,"2year",2,96.973220524015,3.79542075916833,55.97
"10",9,2019,"Ratanakiri","Cambodia",2010,"PfK13",0.704073966923659,-3.17946008220701,4.37411203335772,"2year",2,98.755744276605,3.994603484626,66.91
"11",10,2020,"Ratanakiri","Cambodia",2010,"PfK13",1.15754535092119,-3.12543493025918,5.22805527572828,"2year",2,99.4664671851874,4.20701966064069,76.09
"12",11,2021,"Ratanakiri","Cambodia",2010,"PfK13",1.6215474094832,-3.16580921790179,6.2164093429312,"2year",2,99.8007576921419,4.04728505510541,83.5
"13",12,2022,"Ratanakiri","Cambodia",2010,"PfK13",2.08708658431526,-3.31367972441956,7.18064669782342,"2year",2,99.9239403514906,3.51048642468457,88.96
"14",13,2023,"Ratanakiri","Cambodia",2010,"PfK13",2.54863544498808,-3.37284927097573,7.95163049856941,"2year",2,99.964803630406,3.31548521352936,92.75
"15",0,2010,"Ratanakiri","Cambodia",2010,"PfK13",-3.27500393715173,-4.7570809231473,-1.83035625468838,"3year",3,13.8195838571983,0.851747892208885,3.64
"16",1,2011,"Ratanakiri","Cambodia",2010,"PfK13",-2.96441369545503,-4.2331186640728,-1.6870413083039,"3year",3,15.6165333259606,1.42996313694996,4.91
"17",2,2012,"Ratanakiri","Cambodia",2010,"PfK13",-2.65336554236256,-3.99108383376906,-1.30941882044643,"3year",3,21.2584112742482,1.8144372275539,6.58
"18",3,2013,"Ratanakiri","Cambodia",2010,"PfK13",-2.36394589978487,-3.86462094807786,-0.909591732809805,"3year",3,28.7083388607356,2.05401256743901,8.6
"19",4,2014,"Ratanakiri","Cambodia",2010,"PfK13",-2.06096211517685,-3.85311038528472,-0.295661685170162,"3year",3,42.6618361259287,2.07729803312207,11.29
