adj_year,year,District,country,min_year,Locus,predict,conf.low,conf.high,label,pred_y,conf.high_prev,conf.low_prev,predict_prev
12,2022,Ratanakiri,Cambodia,2010,C580Y,3.268089492716059,-0.7109503246499214,7.131292680910275,2year,2,99.9200954003535,32.93888871977051,96.33177204485209
13,2023,Ratanakiri,Cambodia,2010,C580Y,3.8354637089031733,-0.4754296565854404,7.9903841673093154,2year,2,99.96614107421301,38.333192448717924,97.88650083934941
5,2016,Tak,Thailand,2011,C580Y,3.0972873865385986,2.345458542685699,3.823309916889288,2year,2,97.8612098222267,91.25725707531923,95.6780713633241
6,2017,Tak,Thailand,2011,C580Y,4.093792029850946,3.2774025347812494,4.910635693666156,2year,2,99.2686084314668,96.36453962722602,98.35976455785362
7,2018,Tak,Thailand,2011,C580Y,5.1109250565205,4.1889670950516775,6.032614164854903,2year,2,99.76065286166057,98.50645132897928,99.40056471679053
8,2019,Tak,Thailand,2011,C580Y,6.117684440475353,5.135186914050125,7.125411927571865,2year,2,99.91962449551578,99.41484904643775,99.78012924504579
9,2020,Tak,Thailand,2011,C580Y,7.123546049703974,6.036321032048673,8.263641356671727,2year,2,99.97423475675437,99.7615363355273,99.91947450551763
10,2021,Tak,Thailand,2011,C580Y,8.131583067487036,6.911325285489872,9.351016484749316,2year,2,99.99131304819836,99.9004555538665,99.97059842223224
11,2022,Tak,Thailand,2011,C580Y,9.131981115568768,7.785998788216596,10.424083720454002,2year,2,99.99702925715815,99.95846604643417,99.98918605825295
12,2023,Tak,Thailand,2011,C580Y,10.140402429673541,8.715991040257153,11.609260126191021,2year,2,99.99909184820821,99.98360837563317,99.9960548633868
8,2019,Preah Vihear,Cambodia,2011,C580Y,3.1499977771253596,1.5321161520925288,4.8173519750097915,3year,3,99.19767172268635,82.23157215681468,95.8908634211994
9,2020,Preah Vihear,Cambodia,2011,C580Y,3.721273329904898,1.9099317646317568,5.558667465258873,3year,3,99.61608871450237,87.10114817714407,97.63688188925805
10,2021,Preah Vihear,Cambodia,2011,C580Y,4.296044646427959,2.324297965942414,6.327499510366157,3year,3,99.82166905721627,91.08694931828454,98.65607403408099
11,2022,Preah Vihear,Cambodia,2011,C580Y,4.8784730421914455,2.748668391150625,7.08702303093913,3year,3,99.91648160549026,93.98381014900514,99.24488307927048
12,2023,Preah Vihear,Cambodia,2011,C580Y,5.4586031925138645,3.1402827237884763,7.833852589608567,3year,3,99.9604060290771,95.85241220176988,99.5758565102687
5,2016,Tak,Thailand,2011,C580Y,3.0453520403502816,1.944929266257639,4.102714985741738,3year,3,98.37409829869867,87.48926764756848,95.4581436130317
6,2017,Tak,Thailand,2011,C580Y,4.044075467496566,2.839117332751851,5.258003307287071,3year,3,99.48212703445107,94.47534100075373,98.27759662677556
7,2018,Tak,Thailand,2011,C580Y,5.042474290164866,3.703021724216876,6.362888408233408,3year,3,99.82785895618328,97.59440225895115,99.35836847741798
8,2019,Tak,Thailand,2011,C580Y,6.024771242063603,4.576396165732837,7.457262312052482,3year,3,99.94230987095385,98.98129246472064,99.75877284603301
9,2020,Tak,Thailand,2011,C580Y,7.026862043727644,5.446565592779196,8.623262118182849,3year,3,99.9820159817153,99.57074203596393,99.91130743162289
10,2021,Tak,Thailand,2011,C580Y,8.017196902258362,6.252352019810957,9.765712620000672,3year,3,99.9942617432578,99.80777830288922,99.96703656641114
11,2022,Tak,Thailand,2011,C580Y,9.011584433556129,7.070573283781356,10.944945896076902,3year,3,99.99823533314463,99.91509756309075,99.98780264590897
12,2023,Tak,Thailand,2011,C580Y,10.012879172517835,7.890016199813917,12.103971889840201,3year,3,99.99944625554006,99.96256766617329,99.99551830432145
8,2019,Preah Vihear,Cambodia,2011,C580Y,2.9472828060788037,0.8025985455438686,5.155292757385738,4year,4,99.42642970994127,69.05300606377652,95.01349090413328
9,2020,Preah Vihear,Cambodia,2011,C580Y,3.514627833319089,1.1598131427034724,5.819843584726418,4year,4,99.70407140062294,76.12987602402329,97.1101121976538
10,2021,Preah Vihear,Cambodia,2011,C580Y,4.0696322696730665,1.4879805588365418,6.727778247720948,4year,4,99.8804241684871,81.57749720229664,98.32032800765249
11,2022,Preah Vihear,Cambodia,2011,C580Y,4.630041041698401,1.8853712692764188,7.382273041963657,4year,4,99.93782018487155,86.82268642320398,99.03398696187173
12,2023,Preah Vihear,Cambodia,2011,C580Y,5.202531916491781,2.179575930798886,8.203478712389442,4year,4,99.9726375101955,89.84003708157373,99.45274984592594
8,2019,Tak,Thailand,2011,C580Y,3.4748658154200656,1.6330087532629893,5.34006776887071,4year,4,99.52273417900399,83.65813910297526,96.99641025582568
9,2020,Tak,Thailand,2011,C580Y,4.1053607110001344,1.9984230521087432,6.089419443968359,4year,4,99.77384019262774,88.0631409115437,98.37832463513561
10,2021,Tak,Thailand,2011,C580Y,4.742794984783155,2.5672131837992924,6.915647429160058,4year,4,99.9008844452913,92.87214347166014,99.1361026323886
11,2022,Tak,Thailand,2011,C580Y,5.3328955745759545,2.961464197525303,7.6798883106489955,4year,4,99.95381868705637,95.08025300251437,99.51931534423085
12,2023,Tak,Thailand,2011,C580Y,5.943771891565155,3.4798372387642185,8.440446530992261,4year,4,99.97840929272016,97.01086008228816,99.73847369150462
