"","adj_year","year","District","country","min_year","Locus","predict","conf.low","conf.high","label","pred_y","conf.high_prev","conf.low_prev","predict_prev"
"1",0,2010,"Ratanakiri","Cambodia",2010,"PfK13",-3.45293344715494,-4.42473603850222,-2.34813846785925,"2year",2,8.72138507086474,1.18356129048253,3.07
"2",1,2011,"Ratanakiri","Cambodia",2010,"PfK13",-2.99680606330997,-3.8739103975616,-2.12808934489024,"2year",2,10.6396513117551,2.03540684249623,4.76
"3",2,2012,"Ratanakiri","Cambodia",2010,"PfK13",-2.52425676539361,-3.50298953778525,-1.55753199422465,"2year",2,17.4001075069899,2.92272889495372,7.42
"4",3,2013,"Ratanakiri","Cambodia",2010,"PfK13",-2.08030770964153,-3.32468000656024,-0.877117858552524,"2year",2,29.3775385239299,3.47341565786347,11.1
"5",4,2014,"Ratanakiri","Cambodia",2010,"PfK13",-1.62020411687131,-3.27010432659954,-0.0387684555625563,"2year",2,49.0309099858665,3.66111484168652,16.52
"6",5,2015,"Ratanakiri","Cambodia",2010,"PfK13",-1.15506059223129,-3.2889786514009,0.818704589031769,"2year",2,69.3961291146442,3.59512277627136,23.96
"7",6,2016,"Ratanakiri","Cambodia",2010,"PfK13",-0.701687560195918,-3.1754522281952,1.68431182962196,"2year",2,84.3474644604143,4.01000211652789,33.14
"8",7,2017,"Ratanakiri","Cambodia",2010,"PfK13",-0.242525940430845,-3.27062666956861,2.60570007329767,"2year",2,93.1227526942917,3.65927294356728,43.97
"9",8,2018,"Ratanakiri","Cambodia",2010,"PfK13",0.213962402562452,-3.24998748043734,3.5579320905082,"2year",2,97.2291921867731,3.73273372195771,55.33
"10",9,2019,"Ratanakiri","Cambodia",2010,"PfK13",0.672947942797529,-3.33137518923413,4.50749838733372,"2year",2,98.9094238512577,3.45103804438154,66.22
"11",10,2020,"Ratanakiri","Cambodia",2010,"PfK13",1.137352943323,-3.20523995234698,5.26849320612031,"2year",2,99.4875033804594,3.89690095839696,75.72
"12",11,2021,"Ratanakiri","Cambodia",2010,"PfK13",1.58226749412989,-3.24765595394706,6.21581521468605,"2year",2,99.8006395175511,3.74112087461068,82.95
"13",12,2022,"Ratanakiri","Cambodia",2010,"PfK13",2.05946628184599,-3.30165985829904,7.19811875020968,"2year",2,99.9252567428596,3.55142902491252,88.69
"14",13,2023,"Ratanakiri","Cambodia",2010,"PfK13",2.51856065183039,-3.3425007515822,8.02514925927201,"2year",2,99.9672975784722,3.4141596897632,92.54
"15",0,2010,"Ratanakiri","Cambodia",2010,"PfK13",-3.26802543552453,-4.70139091951507,-1.78368512536295,"3year",3,14.3848691961738,0.90008833582272,3.67
"16",1,2011,"Ratanakiri","Cambodia",2010,"PfK13",-2.96625185292404,-4.26841241346601,-1.61011394025009,"3year",3,16.657279507129,1.38105945341334,4.9
"17",2,2012,"Ratanakiri","Cambodia",2010,"PfK13",-2.65585534457031,-4.02849445485178,-1.33357189049938,"3year",3,20.8569146420334,1.74897727920155,6.56
"18",3,2013,"Ratanakiri","Cambodia",2010,"PfK13",-2.35771332965448,-3.9006090814334,-0.853022844831718,"3year",3,29.8799131537221,1.98284645930388,8.65
"19",4,2014,"Ratanakiri","Cambodia",2010,"PfK13",-2.06328101833964,-3.92509994369989,-0.213501801694809,"3year",3,44.682638080089,1.93580331219001,11.27
"20",5,2015,"Ratanakiri","Cambodia",2010,"PfK13",-1.74383905084969,-3.93891499951116,0.402899384574784,"3year",3,59.9384068658921,1.90975118073207,14.88
"21",6,2016,"Ratanakiri","Cambodia",2010,"PfK13",-1.44703605090078,-3.99583303739872,1.21145560807087,"3year",3,77.0556400783766,1.80599578166409,19.05
"22",7,2017,"Ratanakiri","Cambodia",2010,"PfK13",-1.14253887707714,-4.19448790277235,1.92337751510103,"3year",3,87.2514597316831,1.48544794186769,24.19
"23",8,2018,"Ratanakiri","Cambodia",2010,"PfK13",-0.850463332015297,-4.41588213716261,2.75563452807991,"3year",3,94.0230779159086,1.19396128086983,29.93
"24",9,2019,"Ratanakiri","Cambodia",2010,"PfK13",-0.525802750178996,-4.47226618721587,3.49631234916952,"3year",3,97.058266211278,1.12924280847007,37.15
"25",10,2020,"Ratanakiri","Cambodia",2010,"PfK13",-0.23650669864285,-4.7274410799493,4.12111191366997,"3year",3,98.4032631908765,0.877146673112386,44.11
"26",11,2021,"Ratanakiri","Cambodia",2010,"PfK13",0.0554216975639962,-4.85649550521951,4.85374994377659,"3year",3,99.2261278336181,0.771766742241182,51.39
"27",12,2022,"Ratanakiri","Cambodia",2010,"PfK13",0.379278782242511,-4.94158596161655,5.72871604861816,"3year",3,99.675928736321,0.70925961852509,59.37
"28",13,2023,"Ratanakiri","Cambodia",2010,"PfK13",0.677548992828251,-5.25800943234244,6.55314421316076,"3year",3,99.857640344463,0.517869809984842,66.32
"29",0,2010,"Ratanakiri","Cambodia",2010,"PfK13",-3.10552752117486,-4.96358818228146,-1.23333537304801,"4year",4,22.5598190639929,0.693931862618992,4.29
"30",1,2011,"Ratanakiri","Cambodia",2010,"PfK13",-2.86803256049353,-4.62130957622379,-1.05502737529626,"4year",4,25.8260875962001,0.974402130868936,5.38
"31",2,2012,"Ratanakiri","Cambodia",2010,"PfK13",-2.61348288163592,-4.31644324983908,-0.881746836782,"4year",4,29.2815922232692,1.31714689496751,6.83
"32",3,2013,"Ratanakiri","Cambodia",2010,"PfK13",-2.37316614120304,-4.20427421515326,-0.586574881174455,"4year",4,35.7421120931356,1.47119461022417,8.52
"33",4,2014,"Ratanakiri","Cambodia",2010,"PfK13",-2.14544482452366,-4.02796243526719,-0.319787259007778,"4year",4,42.0727595336052,1.74989173002793,10.48
"34",5,2015,"Ratanakiri","Cambodia",2010,"PfK13",-1.88456321307869,-3.85171725099353,0.118567110006907,"4year",4,52.9607100513856,2.08013376492635,13.19
"35",6,2016,"Ratanakiri","Cambodia",2010,"PfK13",-1.63245108110292,-3.87161947498444,0.55797927104605,"4year",4,63.5984853795367,2.03997991482565,16.35
"36",7,2017,"Ratanakiri","Cambodia",2010,"PfK13",-1.35985674523834,-3.7402316236395,0.973120161462836,"4year",4,72.5740975117766,2.31976890770681,20.43
"37",8,2018,"Ratanakiri","Cambodia",2010,"PfK13",-1.10897165010748,-3.78414407706454,1.44519721430166,"4year",4,80.9258179893717,2.22232121210837,24.81
"38",9,2019,"Ratanakiri","Cambodia",2010,"PfK13",-0.879526079377568,-3.73430296000569,2.0399947178488,"4year",4,88.4932730091025,2.33324104001495,29.33
"39",10,2020,"Ratanakiri","Cambodia",2010,"PfK13",-0.657665633889846,-3.91965078330513,2.5543991260652,"4year",4,92.7868496519093,1.94617475479708,34.13
"40",11,2021,"Ratanakiri","Cambodia",2010,"PfK13",-0.364462829108455,-3.87510303301564,3.15699786943575,"4year",4,95.918357356875,2.03303011347259,40.99
"41",12,2022,"Ratanakiri","Cambodia",2010,"PfK13",-0.0928612831861734,-3.81093901876886,3.71648885911316,"4year",4,97.6258176038728,2.16483692289253,47.68
"42",13,2023,"Ratanakiri","Cambodia",2010,"PfK13",0.127104737078589,-4.05880345773605,4.36810717300952,"4year",4,98.7483440167231,1.69764922190915,53.17
