"country" "District" "year" "n" "Locus" "freq" "nobs" "min_year" "adj_year" "wt_med" "lrsmed"
"1" "Cambodia" "Battambang" 2008 25 "C580Y" 0.567563645956998 2 2008 0 NA 0.271917737272111
"2" "Cambodia" "Battambang" 2009 40 "C580Y" 0.828399311531842 2 2008 1 NA 1.57432509934127
"3" "Cambodia" "Pailin" 2007 3 "C580Y" 0 8 2008 -1 NA NA
"4" "Cambodia" "Pailin" 2008 34 "C580Y" 0.780490113693701 8 2008 0 5.55882352941177 1.26852480162247
"5" "Cambodia" "Pailin" 2009 16 "C580Y" 0.495566535703649 8 2008 1 4 -0.0177343219669348
"6" "Cambodia" "Pailin" 2010 10 "C580Y" 0.996270437999761 8 2008 2 0.475 5.5877279442735
"7" "Cambodia" "Pailin" 2011 50 "C580Y" 0.901969179702743 8 2008 3 4.5 2.21929842857767
"8" "Cambodia" "Pailin" 2012 41 "C580Y" 0.862917907312479 8 2008 4 5.12195121951219 1.8397395987093
"9" "Cambodia" "Pailin" 2015 47 "C580Y" 0.913615041117169 8 2008 7 3.65957446808511 2.35859572868497
"10" "Cambodia" "Pailin" 2016 58 "C580Y" 0.804247973603467 8 2008 8 8.91379310344828 1.41305895972654
"11" "Cambodia" "Pailin" 2017 26 "C580Y" 0.848307090949244 8 2008 9 3.38461538461539 1.72138456376628
"12" "Cambodia" "Preah Vihear" 2011 79 "C580Y" 0.199824189609479 6 2011 0 12.7594936708861 -1.38739353850904
"13" "Cambodia" "Preah Vihear" 2012 78 "C580Y" 0.311755952380952 6 2011 1 16.6153846153846 -0.791922817590287
"14" "Cambodia" "Preah Vihear" 2013 28 "C580Y" 0.481481481481481 6 2011 2 6.96428571428571 -0.0741079721537221
"15" "Cambodia" "Preah Vihear" 2014 12 "C580Y" 0.909090909090909 6 2011 3 0.916666666666667 2.30258509299405
"16" "Cambodia" "Preah Vihear" 2015 4 "C580Y" 1 6 2011 4 NA NA
"17" "Cambodia" "Preah Vihear" 2016 5 "C580Y" 0.993873462580375 6 2011 5 0.45 5.08898016510671
"18" "Cambodia" "Pursat" 2007 40 "C580Y" 0.172771846083185 11 2007 0 5.775 -1.56610862303778
"19" "Cambodia" "Pursat" 2009 25 "C580Y" 0.442347900885024 11 2007 2 6.16 -0.231638611102447
"20" "Cambodia" "Pursat" 2010 152 "C580Y" 0.655562199511002 11 2007 3 34.2105263157895 0.643579663305451
"21" "Cambodia" "Pursat" 2011 110 "C580Y" 0.734566698291915 11 2007 4 21.3545454545455 1.01791720779098
"22" "Cambodia" "Pursat" 2012 85 "C580Y" 0.810206128700342 11 2007 5 12.9882352941176 1.45135009982184
"23" "Cambodia" "Pursat" 2013 67 "C580Y" 0.800923961847837 11 2007 6 10.4776119402985 1.39207916052385
"24" "Cambodia" "Pursat" 2014 37 "C580Y" 0.879321436820483 11 2007 7 3.56756756756757 1.98602000732028
"25" "Cambodia" "Pursat" 2015 20 "C580Y" 0.822112346082598 11 2007 8 3.2 1.53072486652278
"26" "Cambodia" "Pursat" 2016 92 "C580Y" 0.914237055970868 11 2007 9 7.30434782608696 2.36650287341317
"27" "Cambodia" "Pursat" 2017 36 "C580Y" 0.897447436786011 11 2007 10 3.55555555555556 2.16917907341302
"28" "Cambodia" "Pursat" 2018 3 "C580Y" 0.998717948717949 11 2007 11 0.416666666666667 6.65801104587075
"29" "Cambodia" "Ratanakiri" 2010 51 "C580Y" 0.0122388059701493 8 2010 0 0.980392156862745 -4.3908292412173
"30" "Cambodia" "Ratanakiri" 2011 93 "C580Y" 0.0361833288662557 8 2010 1 2.90322580645161 -3.28230261715308
"31" "Cambodia" "Ratanakiri" 2012 44 "C580Y" 0.05 8 2010 2 1.90909090909091 -2.94443897916644
"32" "Cambodia" "Ratanakiri" 2013 20 "C580Y" 0.0555555555555556 8 2010 3 0.95 -2.83321334405622
"33" "Cambodia" "Ratanakiri" 2014 29 "C580Y" 0.118675442204854 8 2010 4 2.68965517241379 -2.00503356452378
"34" "Cambodia" "Ratanakiri" 2016 89 "C580Y" 0.714510584667345 8 2010 6 17.9775280898876 0.917392857082762
"35" "Cambodia" "Ratanakiri" 2017 80 "C580Y" 0.851815393358498 8 2010 7 10.2 1.74891099023869
"36" "Cambodia" "Ratanakiri" 2018 5 "C580Y" 0.479962039601929 8 2010 8 1.2 -0.0801947930645976
"37" "Cambodia" "Stueng Traeng" 2016 35 "C580Y" 1.07125263898663 2 2016 0 NA NA
"38" "Cambodia" "Stueng Traeng" 2017 21 "C580Y" 0.952380952380952 2 2016 1 NA 2.99573227355399
"39" "Laos" "Attapeu" 2011 59 "C580Y" 0 2 2017 -6 NA NA
"40" "Laos" "Attapeu" 2012 27 "C580Y" 0 2 2017 -5 NA NA
"41" "Laos" "Attapeu" 2017 67 "C580Y" 0.357400687430104 2 2017 0 NA -0.586663850774657
"42" "Laos" "Attapeu" 2018 57 "C580Y" 0.672393950103762 2 2017 1 NA 0.719032584892704
"43" "Laos" "Champasak" 2017 97 "C580Y" 0.805557901658883 2 2017 0 NA 1.4214006590781
"44" "Laos" "Champasak" 2018 118 "C580Y" 0.531408119753222 2 2017 1 NA 0.125798114897499
"45" "Laos" "Salavan" 2017 102 "C580Y" 0.257621999754386 2 2017 0 NA -1.05836515438624
"46" "Laos" "Salavan" 2018 43 "C580Y" 0.28516057585825 2 2017 1 NA -0.919005490182906
"47" "Laos" "Savannakhet" 2010 45 "C580Y" 0 2 2017 -7 NA NA
"48" "Laos" "Savannakhet" 2017 261 "C580Y" 0.0269441927402591 2 2017 0 NA -3.58667364501035
"49" "Laos" "Savannakhet" 2018 133 "C580Y" 0.122841238781606 2 2017 1 NA -1.9657952235687
"50" "Laos" "Sekong" 2015 7 "C580Y" 0.488415966909073 1 2015 0 NA -0.0463444254845622
"51" "Laos" "Sekong" 2016 4 "C580Y" 0 1 2015 1 NA NA
"52" "Laos" "Sekong" 2017 12 "C580Y" 0 1 2015 2 NA NA
"53" "Laos" "Sekong" 2018 2 "C580Y" 0 1 2015 3 NA NA
"54" "Myanmar" "Kayin" 2015 1 "C580Y" 0 2 2016 -1 NA NA
