	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
FP0008-C	T,K	CVIET,CVMNK	N	C	S,N	I	A,G	K	A	A		0		0	
FP0009-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0010-CW	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0011-CW	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A	-	0		0	
FP0012-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0013-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0014-CW	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
FP0015-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
FP0016-C	T,K	CVIET,CVMNK	N	C	S	I	G	K	A	A		0		0	
FP0017-C	K	CVMNK	N	C	S	I	A	K	A	A,S		0		0	
FP0018-C	T	CVIET	I	C	N	I	G	K	A	A		0		0	
FP0019-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0020-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0021-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0022-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
FP0023-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
FP0024-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
FP0025-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
FP0028-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
FP0029-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
FP0030-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
FP0031-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
