"country" "District" "year" "n" "Locus" "freq" "nobs" "min_year" "adj_year" "wt_med" "lrsmed"
"1" "Cambodia" "Battambang" 2008 25 "C580Y" 0.539185463659148 2 2008 0 NA 0.157063945382871
"2" "Cambodia" "Battambang" 2009 40 "C580Y" 0.762999365884591 2 2008 1 NA 1.16919438347832
"3" "Cambodia" "Pailin" 2007 3 "C580Y" 0 8 2008 -1 NA NA
"4" "Cambodia" "Pailin" 2008 34 "C580Y" 0.718140777515219 8 2008 0 7.05882352941176 0.935257883547999
"5" "Cambodia" "Pailin" 2009 16 "C580Y" 0.42266421644219 8 2008 1 3.9375 -0.311845995231847
"6" "Cambodia" "Pailin" 2010 10 "C580Y" 0.996270437999761 8 2008 2 0.475 5.5877279442735
"7" "Cambodia" "Pailin" 2011 50 "C580Y" 0.895662826357449 8 2008 3 4.5 2.14993632301347
"8" "Cambodia" "Pailin" 2012 41 "C580Y" 0.819772011946855 8 2008 4 5.80487804878049 1.51480361766448
"9" "Cambodia" "Pailin" 2015 47 "C580Y" 0.907932438263317 8 2008 7 3.65957446808511 2.28864729439712
"10" "Cambodia" "Pailin" 2016 58 "C580Y" 0.790381629230994 8 2008 8 9.51724137931035 1.32722730838903
"11" "Cambodia" "Pailin" 2017 26 "C580Y" 0.848307090949244 8 2008 9 3.38461538461539 1.72138456376628
"12" "Cambodia" "Preah Vihear" 2011 79 "C580Y" 0.197086871943596 6 2011 0 12.7594936708861 -1.40460191798547
"13" "Cambodia" "Preah Vihear" 2012 78 "C580Y" 0.262531328320802 6 2011 1 14.8717948717949 -1.03285318733814
"14" "Cambodia" "Preah Vihear" 2013 28 "C580Y" 0.464285714285714 6 2011 2 6.96428571428571 -0.143100843640673
"15" "Cambodia" "Preah Vihear" 2014 12 "C580Y" 0.833333333333333 6 2011 3 1.66666666666667 1.6094379124341
"16" "Cambodia" "Preah Vihear" 2015 4 "C580Y" 0.75 6 2011 4 0.75 1.09861228866811
"17" "Cambodia" "Preah Vihear" 2016 5 "C580Y" 0.993873462580375 6 2011 5 0.45 5.08898016510671
"18" "Cambodia" "Pursat" 2007 40 "C580Y" 0.172771846083185 11 2007 0 5.775 -1.56610862303778
"19" "Cambodia" "Pursat" 2009 25 "C580Y" 0.442347900885024 11 2007 2 6.16 -0.231638611102447
"20" "Cambodia" "Pursat" 2010 152 "C580Y" 0.652519085632224 11 2007 3 34.5197368421053 0.630130647966263
"21" "Cambodia" "Pursat" 2011 110 "C580Y" 0.724171263711264 11 2007 4 21.8181818181818 0.965247764077545
"22" "Cambodia" "Pursat" 2012 85 "C580Y" 0.738622840691072 11 2007 5 16.3058823529412 1.0388230071853
"23" "Cambodia" "Pursat" 2013 67 "C580Y" 0.773497994186916 11 2007 6 11.6417910447761 1.22816927627403
"24" "Cambodia" "Pursat" 2014 37 "C580Y" 0.808025104105309 11 2007 7 5.67567567567568 1.43722851454501
"25" "Cambodia" "Pursat" 2015 20 "C580Y" 0.781006728778468 11 2007 8 3.2 1.27154276106736
"26" "Cambodia" "Pursat" 2016 92 "C580Y" 0.884424978058775 11 2007 9 9.68478260869565 2.03501783180913
"27" "Cambodia" "Pursat" 2017 36 "C580Y" 0.857107381815928 11 2007 10 4.30555555555556 1.79146978402975
"28" "Cambodia" "Pursat" 2018 3 "C580Y" 0.998717948717949 11 2007 11 0.416666666666667 6.65801104587075
"29" "Cambodia" "Ratanakiri" 2010 51 "C580Y" 0.0119988293824993 8 2010 0 0.980392156862745 -4.41087478901154
"30" "Cambodia" "Ratanakiri" 2011 93 "C580Y" 0.035405192761605 8 2010 1 2.90322580645161 -3.30484962672584
"31" "Cambodia" "Ratanakiri" 2012 44 "C580Y" 0.0454545454545455 8 2010 2 1.90909090909091 -3.04452243772342
"32" "Cambodia" "Ratanakiri" 2013 20 "C580Y" 0.05 8 2010 3 0.95 -2.94443897916644
"33" "Cambodia" "Ratanakiri" 2014 29 "C580Y" 0.110198624904507 8 2010 4 2.68965517241379 -2.0887138453087
"34" "Cambodia" "Ratanakiri" 2016 89 "C580Y" 0.690152269280958 8 2010 6 19.1910112359551 0.800831267785995
"35" "Cambodia" "Ratanakiri" 2017 80 "C580Y" 0.840754104939773 8 2010 7 10.8875 1.663849715664
"36" "Cambodia" "Ratanakiri" 2018 5 "C580Y" 0.479962039601929 8 2010 8 1.2 -0.0801947930645976
"37" "Cambodia" "Stueng Traeng" 2016 35 "C580Y" 0.857002111189303 2 2016 0 NA 1.79061051547015
"38" "Cambodia" "Stueng Traeng" 2017 21 "C580Y" 0.952380952380952 2 2016 1 NA 2.99573227355399
"39" "Laos" "Attapeu" 2011 59 "C580Y" 0 2 2017 -6 NA NA
"40" "Laos" "Attapeu" 2012 27 "C580Y" 0 2 2017 -5 NA NA
"41" "Laos" "Attapeu" 2017 67 "C580Y" 0.349349196664633 2 2017 0 NA -0.62190111240652
"42" "Laos" "Attapeu" 2018 57 "C580Y" 0.672393950103762 2 2017 1 NA 0.719032584892704
"43" "Laos" "Champasak" 2017 97 "C580Y" 0.788598787939749 2 2017 0 NA 1.31649987755321
"44" "Laos" "Champasak" 2018 118 "C580Y" 0.522401202469269 2 2017 1 NA 0.0896648354344543
"45" "Laos" "Salavan" 2017 102 "C580Y" 0.257621999754386 2 2017 0 NA -1.05836515438624
"46" "Laos" "Salavan" 2018 43 "C580Y" 0.278528934559221 2 2017 1 NA -0.951770325811833
"47" "Laos" "Savannakhet" 2010 45 "C580Y" 0 2 2017 -7 NA NA
"48" "Laos" "Savannakhet" 2017 261 "C580Y" 0.026531254920485 2 2017 0 NA -3.60254224960315
"49" "Laos" "Savannakhet" 2018 133 "C580Y" 0.120980007890975 2 2017 1 NA -1.98318233367365
"50" "Laos" "Sekong" 2015 7 "C580Y" 0.488415966909073 1 2015 0 NA -0.0463444254845627
"51" "Laos" "Sekong" 2016 4 "C580Y" 0 1 2015 1 NA NA
"52" "Laos" "Sekong" 2017 12 "C580Y" 0 1 2015 2 NA NA
"53" "Laos" "Sekong" 2018 2 "C580Y" 0 1 2015 3 NA NA
"54" "Myanmar" "Kayin" 2015 1 "C580Y" 0 2 2016 -1 NA NA
"55" "Myanmar" "Kayin" 2016 422 "C580Y" 0.0197821129553102 2 2016 0 NA -3.9029967373653
"56" "Myanmar" "Kayin" 2017 272 "C580Y" 0.0346576225028189 2 2016 1 NA -3.32696514665392
"57" "Myanmar" "Rakhine" 2017 19 "C580Y" 0.0715579710144928 1 2017 0 NA -2.56300003910549
"58" "Myanmar" "Tanintharyi" 2011 51 "C580Y" 0.285543885486749 1 2011 0 NA -0.917125842455795
"59" "Thailand" "Ranong" 2011 10 "C580Y" 0.859110334110334 2 2011 0 NA 1.80792028593203
"60" "Thailand" "Ranong" 2012 17 "C580Y" 0.0649995431147391 2 2011 1 NA -2.66616677706899
"61" "Thailand" "Sisakhet" 2011 5 "C580Y" 1 6 2011 0 NA NA
"62" "Thailand" "Sisakhet" 2012 19 "C580Y" 0.658100606960516 6 2011 1 4.10526315789474 0.65484129636763
"63" "Thailand" "Sisakhet" 2013 4 "C580Y" 0.38135593220339 6 2011 2 1 -0.483796951378071
"64" "Thailand" "Sisakhet" 2015 47 "C580Y" 0.994249763084385 6 2011 4 0.49468085106383 5.15274738912594
"65" "Thailand" "Sisakhet" 2016 11 "C580Y" 0.959154450617352 6 2011 5 0.477272727272727 3.15625425061048
"66" "Thailand" "Sisakhet" 2017 26 "C580Y" 0.945431032251921 6 2011 6 0.961538461538461 2.85217557737537
"67" "Thailand" "Tak" 2001 37 "C580Y" 0 5 2011 -10 NA NA
"68" "Thailand" "Tak" 2002 52 "C580Y" 0 5 2011 -9 NA NA
"69" "Thailand" "Tak" 2003 85 "C580Y" 0 5 2011 -8 NA NA
"70" "Thailand" "Tak" 2004 79 "C580Y" 0 5 2011 -7 NA NA
"71" "Thailand" "Tak" 2005 50 "C580Y" 0 5 2011 -6 NA NA
"72" "Thailand" "Tak" 2006 2 "C580Y" 0 5 2011 -5 NA NA
"73" "Thailand" "Tak" 2007 29 "C580Y" 0 5 2011 -4 NA NA
"74" "Thailand" "Tak" 2008 308 "C580Y" 0 5 2011 -3 NA NA
"75" "Thailand" "Tak" 2009 16 "C580Y" 0 5 2011 -2 NA NA
"76" "Thailand" "Tak" 2010 16 "C580Y" 0 5 2011 -1 NA NA
"77" "Thailand" "Tak" 2011 54 "C580Y" 0.131134992569565 5 2011 0 6.09259259259259 -1.89096050051712
"78" "Thailand" "Tak" 2012 95 "C580Y" 0.324067440072078 5 2011 1 20.8842105263158 -0.735141665142956
"79" "Thailand" "Tak" 2013 115 "C580Y" 0.563554533039188 5 2011 2 28.2608695652174 0.255600669408913
"80" "Thailand" "Tak" 2014 7 "C580Y" 0.714285714285714 5 2011 3 1.42857142857143 0.916290731874155
"81" "Thailand" "Tak" 2015 10 "C580Y" 0.3 5 2011 4 2.1 -0.847297860387204
"82" "Thailand" "Tak" 2016 2 "C580Y" 0 5 2011 5 NA NA
"83" "Vietnam" "Binh Phuoc" 2005 12 "C580Y" 0 8 2010 -5 NA NA
"84" "Vietnam" "Binh Phuoc" 2009 18 "C580Y" 0 8 2010 -1 NA NA
"85" "Vietnam" "Binh Phuoc" 2010 97 "C580Y" 0.0253852058882497 8 2010 0 1.95876288659794 -3.6478757509769
