District,mutation,conf.low,estimate,conf.high
Attapeu,539T,-1.613,0.176,2.001
Attapeu,PfK13,0.256,0.653,1.053
Binh Phuoc,580Y,0.421,0.834,1.247
Binh Phuoc,PfK13,0.116,0.467,0.813
Gia Lai,580Y,-0.031,0.412,0.864
Gia Lai,PfK13,-0.116,0.291,0.705
Mandalay,PfK13,-0.162,0.291,0.71
Pailin,580Y,-0.107,0.324,0.745
Pailin,539T,-2.089,-0.186,1.607
Pailin,PfK13,-0.248,0.136,0.496
Preah Vihear,580Y,0.053,0.537,1.01
Preah Vihear,PfK13,-0.074,0.357,0.774
Pursat,580Y,-0.086,0.328,0.741
Pursat,539T,-1.797,0.047,1.847
Pursat,PfK13,-0.119,0.237,0.585
Ratanakiri,580Y,0.327,0.748,1.163
Ratanakiri,PfK13,0.4,0.766,1.138
Sekong,PfK13,-0.39,0.182,0.657
Sisakhet,580Y,-0.477,0.346,0.874
Sisakhet,539T,-1.215,0.759,3.864
Southeast Asia,580Y,0.3,0.508,0.703
Southeast Asia,539T,-0.661,0.129,1.162
Southeast Asia,PfK13,0.212,0.39,0.553
Tak,580Y,0.12,0.575,1.045
Tak,PfK13,0.185,0.541,0.889
