"country"	"District"	"year"	"Locus"	"n_freq"	"freq"	"n_prev"	"prev"
"1"	"Cambodia"	"Battambang"	2008	"C580Y"	25	0.539185463659148	20	0.45
"2"	"Cambodia"	"Pailin"	2007	"C580Y"	3	0	3	0
"3"	"Cambodia"	"Pailin"	2009	"C580Y"	16	0.42266421644219	13	0.307692307692308
"4"	"Cambodia"	"Pailin"	2010	"C580Y"	10	0.996270437999761	10	0.9
"5"	"Cambodia"	"Pailin"	2011	"C580Y"	50	0.895662826357449	49	0.836734693877551
"6"	"Cambodia"	"Pailin"	2015	"C580Y"	47	0.907932438263317	15	0.933333333333333
"7"	"Cambodia"	"Pailin"	2016	"C580Y"	58	0.790381629230994	22	1
"8"	"Cambodia"	"Pailin"	2017	"C580Y"	26	0.848307090949244	24	0.916666666666667
"9"	"Cambodia"	"Preah Vihear"	2011	"C580Y"	79	0.197086871943596	73	0.219178082191781
"10"	"Cambodia"	"Preah Vihear"	2013	"C580Y"	28	0.464285714285714	20	0.4
"11"	"Cambodia"	"Preah Vihear"	2014	"C580Y"	12	0.833333333333333	7	0.857142857142857
"12"	"Cambodia"	"Preah Vihear"	2015	"C580Y"	4	0.75	3	0.666666666666667
"13"	"Cambodia"	"Preah Vihear"	2016	"C580Y"	5	0.993873462580375	5	1
"14"	"Cambodia"	"Pursat"	2007	"C580Y"	40	0.172771846083185	26	0.153846153846154
"15"	"Cambodia"	"Pursat"	2009	"C580Y"	25	0.442347900885024	19	0.315789473684211
"16"	"Cambodia"	"Pursat"	2010	"C580Y"	152	0.652519085632224	107	0.532710280373832
"17"	"Cambodia"	"Pursat"	2011	"C580Y"	110	0.724171263711264	101	0.643564356435644
"18"	"Cambodia"	"Pursat"	2013	"C580Y"	67	0.773497994186916	42	0.619047619047619
"19"	"Cambodia"	"Pursat"	2017	"C580Y"	36	0.857107381815928	29	0.827586206896552
"20"	"Cambodia"	"Pursat"	2018	"C580Y"	3	0.998717948717949	3	1
"21"	"Cambodia"	"Ratanakiri"	2011	"C580Y"	93	0.035405192761605	78	0.0512820512820513
"22"	"Cambodia"	"Ratanakiri"	2014	"C580Y"	29	0.110198624904507	26	0.0769230769230769
"23"	"Cambodia"	"Ratanakiri"	2018	"C580Y"	5	0.479962039601929	5	0.6
"24"	"Cambodia"	"Stueng Traeng"	2017	"C580Y"	21	0.952380952380952	21	0.952380952380952
"25"	"Laos"	"Attapeu"	2011	"C580Y"	59	0	59	0
"26"	"Laos"	"Attapeu"	2018	"C580Y"	57	0.672393950103762	54	0.574074074074074
"27"	"Laos"	"Salavan"	2017	"C580Y"	102	0.257621999754386	100	0.25
"28"	"Laos"	"Salavan"	2018	"C580Y"	43	0.278528934559221	42	0.285714285714286
"29"	"Laos"	"Savannakhet"	2018	"C580Y"	133	0.120980007890975	126	0.119047619047619
"30"	"Laos"	"Sekong"	2015	"C580Y"	7	0.488415966909073	7	0.285714285714286
"31"	"Laos"	"Sekong"	2016	"C580Y"	4	0	3	0
"32"	"Laos"	"Sekong"	2017	"C580Y"	12	0	12	0
"33"	"Laos"	"Sekong"	2018	"C580Y"	2	0	2	0
"34"	"Myanmar"	"Rakhine"	2017	"C580Y"	19	0.0715579710144928	7	0.142857142857143
"35"	"Thailand"	"Ranong"	2011	"C580Y"	10	0.859110334110334	9	0.666666666666667
"36"	"Thailand"	"Ranong"	2012	"C580Y"	17	0.0649995431147391	11	0.0909090909090909
"37"	"Thailand"	"Sisakhet"	2011	"C580Y"	5	1	5	0.6
"38"	"Thailand"	"Sisakhet"	2012	"C580Y"	19	0.658100606960516	12	0.166666666666667
"39"	"Thailand"	"Sisakhet"	2013	"C580Y"	4	0.38135593220339	3	0.333333333333333
"40"	"Thailand"	"Sisakhet"	2015	"C580Y"	47	0.994249763084385	16	1
"41"	"Thailand"	"Sisakhet"	2016	"C580Y"	11	0.959154450617352	5	1
"42"	"Thailand"	"Sisakhet"	2017	"C580Y"	26	0.945431032251921	18	1
"43"	"Thailand"	"Tak"	2001	"C580Y"	37	0	35	0
"44"	"Thailand"	"Tak"	2002	"C580Y"	52	0	50	0
"45"	"Thailand"	"Tak"	2004	"C580Y"	79	0	74	0
"46"	"Thailand"	"Tak"	2006	"C580Y"	2	0	2	0
"47"	"Thailand"	"Tak"	2007	"C580Y"	29	0	27	0
"48"	"Thailand"	"Tak"	2009	"C580Y"	16	0	16	0
"49"	"Thailand"	"Tak"	2010	"C580Y"	16	0	14	0
"50"	"Thailand"	"Tak"	2012	"C580Y"	95	0.324067440072078	93	0.301075268817204
