"country" "District" "year" "n" "x" "Locus" "WT" "min_year" "nobs" "prev" "adj_year" "wt_med" "lrsmed"
"1" "Cambodia" "Battambang" 2008 20 9 "C580Y" 6 2008 2 0.6 0 NA 0.405465108108164
"2" "Cambodia" "Battambang" 2009 31 23 "C580Y" 6 2008 2 0.793103448275862 1 NA 1.34373474670109
"3" "Cambodia" "Pailin" 2007 3 0 "C580Y" 1 2008 8 0 -1 NA NA
"4" "Cambodia" "Pailin" 2008 24 14 "C580Y" 4 2008 8 0.777777777777778 0 3.95833333333333 1.25276296849537
"5" "Cambodia" "Pailin" 2009 13 4 "C580Y" 2 2008 8 0.666666666666667 1 2.76923076923077 0.693147180559945
"6" "Cambodia" "Pailin" 2010 10 9 "C580Y" 0 2008 8 1 2 NA NA
"7" "Cambodia" "Pailin" 2011 49 41 "C580Y" 3 2008 8 0.931818181818182 3 2.81632653061224 2.6149597780362
"8" "Cambodia" "Pailin" 2012 31 27 "C580Y" 4 2008 8 0.870967741935484 4 3.48387096774194 1.90954250488444
"9" "Cambodia" "Pailin" 2015 15 14 "C580Y" 1 2008 8 0.933333333333333 7 0.933333333333333 2.63905732961526
"10" "Cambodia" "Pailin" 2016 22 22 "C580Y" 0 2008 8 1 8 NA NA
"11" "Cambodia" "Pailin" 2017 24 22 "C580Y" 2 2008 8 0.916666666666667 9 1.83333333333333 2.39789527279837
"12" "Cambodia" "Preah Vihear" 2011 73 16 "C580Y" 51 2011 6 0.238805970149254 0 13.041095890411 -1.15923691048454
"13" "Cambodia" "Preah Vihear" 2012 41 7 "C580Y" 32 2011 6 0.179487179487179 1 5.80487804878049 -1.51982575374441
"14" "Cambodia" "Preah Vihear" 2013 20 8 "C580Y" 12 2011 6 0.4 2 4.8 -0.405465108108164
"15" "Cambodia" "Preah Vihear" 2014 7 6 "C580Y" 1 2011 6 0.857142857142857 3 0.857142857142857 1.79175946922805
"16" "Cambodia" "Preah Vihear" 2015 3 2 "C580Y" 1 2011 6 0.666666666666667 4 0.666666666666667 0.693147180559945
"17" "Cambodia" "Preah Vihear" 2016 5 5 "C580Y" 0 2011 6 1 5 NA NA
"18" "Cambodia" "Pursat" 2007 26 4 "C580Y" 15 2007 11 0.210526315789474 0 4.03846153846154 -1.32175583998232
"19" "Cambodia" "Pursat" 2009 19 6 "C580Y" 6 2007 11 0.5 2 4.73684210526316 0
"20" "Cambodia" "Pursat" 2010 107 57 "C580Y" 24 2007 11 0.703703703703704 3 22.4299065420561 0.864997437486605
"21" "Cambodia" "Pursat" 2011 101 65 "C580Y" 22 2007 11 0.747126436781609 4 19.3069306930693 1.08334481653732
"22" "Cambodia" "Pursat" 2012 30 20 "C580Y" 8 2007 11 0.714285714285714 5 6.3 0.916290731874155
"23" "Cambodia" "Pursat" 2013 42 26 "C580Y" 9 2007 11 0.742857142857143 6 8.11904761904762 1.06087196068526
"24" "Cambodia" "Pursat" 2014 33 29 "C580Y" 4 2007 11 0.878787878787879 7 3.51515151515152 1.98100146886658
"25" "Cambodia" "Pursat" 2015 18 15 "C580Y" 3 2007 11 0.833333333333333 8 2.5 1.6094379124341
"26" "Cambodia" "Pursat" 2016 52 48 "C580Y" 4 2007 11 0.923076923076923 9 3.69230769230769 2.484906649788
"27" "Cambodia" "Pursat" 2017 29 24 "C580Y" 2 2007 11 0.923076923076923 10 1.86206896551724 2.484906649788
"28" "Cambodia" "Pursat" 2018 3 3 "C580Y" 0 2007 11 1 11 NA NA
"29" "Cambodia" "Ratanakiri" 2010 50 1 "C580Y" 49 2010 8 0.02 0 0.98 -3.89182029811063
