District,mutation,conf.low,estimate,conf.high
Attapeu,539T,-1.114,0.168,1.487
Attapeu,PfK13,0.205,0.637,1.081
Binh Phuoc,580Y,0.158,0.583,1.005
Binh Phuoc,PfK13,-0.036,0.339,0.717
Gia Lai,580Y,0.031,0.495,0.964
Gia Lai,PfK13,0,0.433,0.883
Mandalay,PfK13,-0.091,0.373,0.864
Pailin,580Y,-0.448,-0.022,0.393
Pailin,539T,-1.588,-0.196,0.99
Pailin,PfK13,-0.477,-0.096,0.285
Preah Vihear,580Y,-0.074,0.412,0.907
Preah Vihear,PfK13,-0.175,0.259,0.7
Pursat,580Y,-0.254,0.166,0.582
Pursat,539T,-1.266,0.035,1.345
Pursat,PfK13,-0.297,0.078,0.457
Ratanakiri,580Y,0.287,0.712,1.163
Ratanakiri,PfK13,0.372,0.768,1.188
Sekong,PfK13,-0.587,-0.014,0.52
Sisakhet,580Y,-0.171,0.319,0.795
Sisakhet,539T,-1.324,0.075,1.771
Sisakhet,PfK13,-0.318,0.113,0.542
Southeast Asia,580Y,0.184,0.392,0.596
Southeast Asia,539T,-0.572,0.019,0.692
Southeast Asia,PfK13,0.121,0.309,0.496
Tak,580Y,0.029,0.519,1.042
Tak,PfK13,0.181,0.576,0.973
